username,password,firstname,lastname,email
angga123,1234,angga12,satu,angga@gmail.com
azka123,1234,azka12,satu,azka@gmail.com
arif123,1234,arif123,satu,arif123@gmail.com
bunga123,1234,bunga12,satu,bunga@gmail.com
bilkis123,1234,bilkis12,satu,bilkis@gmail.com
dea123,1234,dea12,satu,dea@gmail.com
denis123,1234,denis12,satu,denis@gmail.com
dwiki123,1234,dwiki12,satu,dwiki@gmail.com
erlan123,1234,erlan12,satu,erlan@gmail.com
eka123,1234,eka12,satu,eka@gmail.com
erwin123,1234,erwin12,satu,erwin@gmail.com
fikri123,1234,fikri,dua,fikri@gmail.com
fahrul123,1234,fahrul12,dua,fahrul@gmail.com
gita123,1234,gita12,dua,gita@gmail.com
gunawan123,1234,gunawan12,dua,gunawan@gmail.com
hafidz123,1234,hafidz11,dua,hafidzv@gmail.com
hermawan123,1234,hermawan11,dua,hermawan@gmail.com
haikal123,1234,haikal11,dua,haikal@gmail.com
indira123,1234,indira11,dua,indira@gmail.com
ikhsan123,1234,ikhsan,dua,ikhsan@gmail.com
jamal123,1234,jamal11,dua,jamal@gmail.com
jaka123,1234,jaka11,dua,jaka@gmail.com
kurnia123,1234,kurnia11,dua,kurnia@gmail.com
komarudin123,1234,komarudin11,dua,komarudin@gmail.com
kartika123,1234,kartika11,dua,kartika
noviana123,1234,noviana11,dua,noviana@gmail.com
nindi123,1234,nindi11,dua,nindi@gmail.com
